wavelength_A	flux_0Myr	flux_10Myr	flux_20Myr	flux_30Myr	flux_40Myr	flux_50Myr	flux_60Myr	flux_70Myr	flux_80Myr	flux_90Myr	flux_100Myr	flux_200Myr	flux_300Myr	flux_400Myr	flux_500Myr	flux_600Myr	flux_700Myr	flux_800Myr	flux_900Myr	flux_1000Myr
3076.0	1.2476402578676537e+42	4.2633691723393925e+41	2.1737937387823184e+41	1.2974552783501528e+41	1.0279565461362653e+41	8.1456069722085695e+40	6.512479927104544e+40	6.512479927104544e+40	5.189132199030544e+40	4.1027500688558064e+40	4.1027500688558064e+40	1.8894594488802037e+40	1.0170672503523914e+40	7.27097867687263e+39	5.351207588664193e+39	4.2558850458060993e+39	4.2558850458060993e+39	3.466389148519459e+39	2.7184735006686562e+39	2.7184735006686562e+39
3081.0	1.2461017793364315e+42	4.2522348180544525e+41	2.170410084336664e+41	1.2977724198116476e+41	1.0290469802125881e+41	8.163086709102435e+40	6.534502901523898e+40	6.534502901523898e+40	5.2183978453895e+40	4.1405970093563533e+40	4.1405970093563533e+40	1.9290974342701477e+40	1.0459693571842449e+40	7.493103669415296e+39	5.536379340416423e+39	4.419672781639226e+39	4.419672781639226e+39	3.612506814068663e+39	2.838809150532475e+39	2.838809150532475e+39
3086.0	1.2441721882966305e+42	4.2205764565199e+41	2.156529830790459e+41	1.2925751245240375e+41	1.0259693715350057e+41	8.14756551618127e+40	6.527845702489535e+40	6.527845702489535e+40	5.218443275149578e+40	4.146406497830037e+40	4.146406497830037e+40	1.9394458463596235e+40	1.0555615125673224e+40	7.578391432276021e+39	5.619570756071314e+39	4.498250044758696e+39	4.498250044758696e+39	3.688252235600456e+39	2.9091727041872785e+39	2.9091727041872785e+39
3091.0	1.2415909785307638e+42	4.166762382606008e+41	2.129917001404102e+41	1.2781845498363917e+41	1.0152153944876896e+41	8.067301885752944e+40	6.46514042523921e+40	6.46514042523921e+40	5.164945441463284e+40	4.0967159396881153e+40	4.0967159396881153e+40	1.8941056285977945e+40	1.0144391308281359e+40	7.224745200979007e+39	5.3054731350854806e+39	4.216177116233917e+39	4.216177116233917e+39	3.424310234652943e+39	2.653079018773978e+39	2.653079018773978e+39
3096.0	1.2405677557255993e+42	4.1844080409287125e+41	2.138313244417789e+41	1.2780301023073577e+41	1.013200662159796e+41	8.036944174331458e+40	6.433042670055106e+40	6.433042670055106e+40	5.133064825472842e+40	4.06556339749067e+40	4.06556339749067e+40	1.8695185896773418e+40	9.92566105284312e+39	7.028186543777106e+39	5.1180711852510374e+39	4.043512841533547e+39	4.043512841533547e+39	3.2598495788409285e+39	2.4947843823147328e+39	2.4947843823147328e+39
3101.0	1.2323043159041534e+42	4.160701864294893e+41	2.1291795779495348e+41	1.2723392977588803e+41	1.0085283172739898e+41	7.998284121190821e+40	6.400430407873762e+40	6.400430407873762e+40	5.10455456377198e+40	4.0399866005207177e+40	4.0399866005207177e+40	1.852630760492382e+40	9.82811413239419e+39	6.959664098759794e+39	5.05910830419795e+39	3.9900142274039164e+39	3.9900142274039164e+39	3.208845800093576e+39	2.446874614258009e+39	2.446874614258009e+39
3106.0	1.2671760691142525e+42	4.138652059516046e+41	2.1136214034277673e+41	1.2646479888057058e+41	1.0032379410802483e+41	7.961801644234698e+40	6.375408073084902e+40	6.375408073084902e+40	5.090121488558217e+40	4.0346036215849626e+40	4.0346036215849626e+40	1.8744446145474012e+40	1.0182455386515017e+40	7.313039175574358e+39	5.419345780598173e+39	4.3330860282512207e+39	4.3330860282512207e+39	3.545211084649985e+39	2.7929747881868974e+39	2.7929747881868974e+39
3111.0	1.2963270558445945e+42	4.147401973252008e+41	2.1173662844833386e+41	1.2691610349218e+41	1.0078053347054558e+41	8.008507989609435e+40	6.421954260947495e+40	6.421954260947495e+40	5.139352282476957e+40	4.0877180741843823e+40	4.0877180741843823e+40	1.919266127832908e+40	1.0504557200148918e+40	7.563985807071265e+39	5.62449655088579e+39	4.508457976024906e+39	4.508457976024906e+39	3.699963994779274e+39	2.929354284274481e+39	2.929354284274481e+39
3116.0	1.2367648025459079e+42	4.1219576431489e+41	2.103781536798854e+41	1.259153483542108e+41	9.992364914501976e+40	7.933662219574278e+40	6.35517814210844e+40	6.35517814210844e+40	5.073402699553524e+40	4.0175704597874907e+40	4.0175704597874907e+40	1.8649832402883566e+40	1.0103473865103042e+40	7.231765001274556e+39	5.331355800028758e+39	4.247025219560616e+39	4.247025219560616e+39	3.462629679005203e+39	2.7183663513411935e+39	2.7183663513411935e+39
3121.0	1.2323091031202566e+42	4.103330047951951e+41	2.094494215435788e+41	1.253127528866264e+41	9.942261436308921e+40	7.892266959019878e+40	6.320662222820926e+40	6.320662222820926e+40	5.041979754437787e+40	3.986703471827916e+40	3.986703471827916e+40	1.8352292426633426e+40	9.858073738481847e+39	7.03094391203101e+39	5.153741906528186e+39	4.0885943914603286e+39	4.0885943914603286e+39	3.315357541063642e+39	2.5810376443172117e+39	2.5810376443172117e+39
3126.0	1.2297019356548027e+42	4.095965543507044e+41	2.0936761842354488e+41	1.2548582685076436e+41	9.962981053462905e+40	7.915284555269451e+40	6.345045024846908e+40	6.345045024846908e+40	5.072199406919856e+40	4.025949545361087e+40	4.025949545361087e+40	1.8767247334359883e+40	1.0203456783749054e+40	7.323605544684193e+39	5.422739410456853e+39	4.3370914121655216e+39	4.3370914121655216e+39	3.5469187951769725e+39	2.7886684724328315e+39	2.7886684724328315e+39
3131.0	1.2272506550839261e+42	4.059358660804732e+41	2.0781874431125347e+41	1.2471874302198148e+41	9.904315034391948e+40	7.869014466292011e+40	6.307042969286032e+40	6.307042969286032e+40	5.038786450856597e+40	3.994298391108993e+40	3.994298391108993e+40	1.8549210621773736e+40	1.0064293417710922e+40	7.219874716725889e+39	5.332933624366108e+39	4.2542349555773605e+39	4.2542349555773605e+39	3.468541374757999e+39	2.7172358670877142e+39	2.7172358670877142e+39
3136.0	1.225697710994542e+42	4.050278218993822e+41	2.07138129053653e+41	1.2439120627373304e+41	9.88277974149552e+40	7.855839182720221e+40	6.298762877107614e+40	6.298762877107614e+40	5.037218023593061e+40	4.001192429015458e+40	4.001192429015458e+40	1.8730816563972873e+40	1.022313171790782e+40	7.342984055775243e+39	5.4395021955410347e+39	4.3513982896771525e+39	4.3513982896771525e+39	3.559597528397048e+39	2.7975217058787907e+39	2.7975217058787907e+39
3141.0	1.2247234871751353e+42	4.052468584462813e+41	2.0725049617495977e+41	1.2439243364096582e+41	9.882439006024013e+40	7.858593708132709e+40	6.305921402116909e+40	6.305921402116909e+40	5.05128537782063e+40	4.022594725166596e+40	4.022594725166596e+40	1.8892458873746155e+40	1.0313554310079578e+40	7.408300461240936e+39	5.480687268150393e+39	4.377578017294824e+39	4.377578017294824e+39	3.56998038444654e+39	2.787020842728932e+39	2.787020842728932e+39
3146.0	1.2233969170159292e+42	4.025658078592379e+41	2.059680746589695e+41	1.235255027208595e+41	9.808955614058084e+40	7.79612225751343e+40	6.252088949765851e+40	6.252088949765851e+40	5.001411579395968e+40	3.973335363518824e+40	3.973335363518824e+40	1.8437679089492834e+40	9.941874072941583e+39	7.101723858545133e+39	5.2037319955157353e+39	4.125443565610529e+39	4.125443565610529e+39	3.3294746678114505e+39	2.5533506043700145e+39	2.5533506043700145e+39
